['0', '-3.433228E-05', '-110', '180', '-3.433228E-05', '90.00007', '1.072129E-04', '0.335', '10010', '10']
['0.016', '-6.866455E-05', '-110', '180', '-6.866455E-05', '90', '5.485616E-05', '0.335', '10010', '10']
['0.032', '1.802444E-03', '-109.9929', '179.9961', '-4.806519E-04', '90.00288', '3.861626E-04', '0.335', '10010', '10']
['0.048', '0.02739716', '-109.9063', '179.9384', '-7.038116E-03', '90.06523', '2.991982E-03', '0.335', '10010', '10']
['0.064', '0.1100349', '-109.626', '179.748', '-0.03828049', '90.27864', '0.02141125', '0.335', '10010', '10']
['0.08', '0.2608051', '-109.1116', '179.4063', '-0.09544372', '90.6703', '0.08126613', '0.335', '10010', '10']
['0.096', '0.480669', '-108.3664', '178.9088', '-0.1774635', '91.23885', '0.1779389', '0.335', '10010', '10']
['0.112', '0.7675152', '-107.3916', '178.2563', '-0.2877045', '91.98427', '0.3068154', '0.335', '10010', '10']
['0.128', '1.121292', '-106.1842', '177.4506', '-0.4235229', '92.89448', '0.4731278', '0.335', '10010', '10']
['0.144', '1.544472', '-104.7485', '176.4904', '-0.5850906', '93.98405', '0.6723203', '0.335', '10010', '10']
['0.16', '2.034702', '-103.083', '175.3763', '-0.7722359', '95.24501', '0.8967263', '0.335', '10010', '10']
['0.176', '2.584585', '-101.2101', '174.1259', '-0.9820061', '96.65662', '1.14185', '0.335', '10010', '10']
['0.192', '3.147446', '-99.29031', '172.8482', '-1.194935', '98.09637', '1.393938', '0.335', '10010', '10']
['0.208', '3.661383', '-97.54024', '171.6857', '-1.386715', '99.4146', '1.619603', '0.335', '10010', '10']
['0.224', '4.108183', '-96.02523', '170.6689', '-1.556454', '100.5675', '1.813235', '0.335', '10010', '10']
['0.24', '4.486902', '-94.74175', '169.8061', '-1.699688', '101.5476', '1.978464', '0.335', '10010', '10']
['0.256', '4.798262', '-93.68607', '169.1017', '-1.817928', '102.353', '2.117065', '0.335', '10010', '10']
['0.272', '5.042433', '-92.86276', '168.5491', '-1.910557', '102.9832', '2.224557', '0.335', '10010', '10']
['0.288', '5.217716', '-92.27016', '168.1486', '-1.978741', '103.4378', '2.299519', '0.335', '10010', '10']
['0.304', '5.325365', '-91.90415', '167.9057', '-2.019115', '103.7163', '2.344941', '0.335', '10010', '10']
['0.32', '5.369568', '-91.75638', '167.8057', '-2.035355', '103.829', '2.362905', '0.335', '10010', '10']
['0.336', '5.377121', '-91.73457', '167.7854', '-2.038822', '103.8531', '2.366451', '0.639', '10010', '20']
['0.352', '5.37743', '-91.73507', '167.784', '-2.039543', '103.8555', '2.367679', '0.639', '10010', '20']
['0.368', '5.377121', '-91.74451', '167.8123', '-2.039646', '103.8432', '2.368801', '0.639', '10010', '20']
['0.384', '5.372538', '-91.86449', '168.1328', '-2.039268', '103.6376', '2.373819', '0.639', '10010', '20']
['0.4', '5.354908', '-92.24335', '169.17', '-2.036694', '102.9703', '2.389614', '0.639', '10010', '20']
['0.416', '5.320867', '-92.90105', '171.0168', '-2.030788', '101.7828', '2.408656', '0.639', '10010', '20']
['0.432', '5.270948', '-93.79824', '173.6001', '-2.02169', '100.0908', '2.420856', '0.639', '10010', '20']
['0.448', '5.206163', '-94.87463', '176.8365', '-2.009708', '97.92835', '2.42801', '0.639', '10010', '20']
['0.464', '5.126581', '-96.05687', '180.6094', '-1.996799', '95.34705', '2.433568', '0.639', '10010', '20']
['0.48', '5.038502', '-97.2045', '184.5727', '-1.988182', '92.56998', '2.436579', '0.639', '10010', '20']
['0.496', '4.957151', '-98.1162', '188.0107', '-1.98317', '90.06592', '2.438031', '0.639', '10010', '20']
['0.512', '4.891628', '-98.76681', '190.6968', '-1.981728', '88.04443', '2.440008', '0.639', '10010', '20']
['0.528', '4.840816', '-99.2095', '192.6789', '-1.981419', '86.49783', '2.441426', '0.639', '10010', '20']
['0.544', '4.805403', '-99.48806', '194.0212', '-1.981693', '85.41911', '2.443097', '0.639', '10010', '20']
['0.56', '4.786039', '-99.63566', '194.7592', '-1.982208', '84.80704', '2.444846', '0.639', '10010', '20']
['0.576', '4.779619', '-99.68225', '194.9868', '-1.982483', '84.5972', '2.445958', '0.639', '10010', '20']
['0.592', '4.778915', '-99.68911', '195.0062', '-1.983032', '84.55936', '2.446059', '0.639', '10010', '20']
['0.608', '4.778778', '-99.68972', '195.0043', '-1.983616', '84.55243', '2.446099', '0.639', '10010', '20']
['0.624', '4.778606', '-99.68966', '195.0048', '-1.984165', '84.55188', '2.446065', '0.639', '10010', '20']
['0.64', '4.778675', '-99.68983', '195.0058', '-1.984577', '84.55257', '2.445984', '1.339', '10010', '30']
